,Name,Review,Rating,No_of_Reviews,No_of_Followers,Cost,Cuisines,Mean Rating,Mean Reviews,Mean Followers
34,Beyond Flavours,dinner friends menu perfect something everyone service awesome papia accommodating good ambience amazing live music back definitely,5.0,6.0,10,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
35,Beyond Flavours,service experience good especially papiya food served good tasty served well would like visit beyond recommend friends food reasonable price,5.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
36,Beyond Flavours,service food ambiance nice staff humble taking order serving food live music like cherry cake,5.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
37,Beyond Flavours,food ordered banjara tangdi starter best among papiya shuvro well mannered service best among,5.0,2.0,8,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
38,Beyond Flavours,staff polite responsive food best part better ambience also awesome met two persons named papiya shuvro best services food items liked basket biryani kodi drum sticks finally loved,5.0,2.0,39,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
39,Beyond Flavours,came parents ordered thai peneer tikka kaju pulao veg biryani kaju pulao veg biryani really good decent place go family shubro papiya served well,4.0,2.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
40,Beyond Flavours,well new hyderabad fact say probably best place ive eaten buffet hyderabad period especially id like thank shurvo papiya amazing service double metha good overall worthwhile experience,5.0,5.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
41,Beyond Flavours,wonderful place awesome ambience best visit night see pretty lights enjoy savory foods shubro papiya good service,5.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
42,Beyond Flavours,good ambience great serviceweve buffet 25 peoplethe waiters patient even got noodles replaced since one served buffet went badshoutout shubro pradeep took care entire afternoon,4.0,4.0,2,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
43,Beyond Flavours,review place comes multiple visits spanned 4 months safely say one good places aroundtheyre located near biodiversity signal fabindia theres ample parking two four wheelers ambience bit dim dark seating divided various options including pdr sectionthe menu design shape bottle array spans continental chinese indian cuisines heres list things tried across visitspanko crumbed mozzarella sticks cheese sticks coated fried pure cheese blissveg lasagna place one good lasagne towncrispy chilli corn kernels usual favourite one slightly different presentation heremakhmali paneer tikka cottage cheese shashlik sizzleritalian nachos nachos topped red sauce cheese baked dishcheese cheese pizza soft base pizza loaded cheese pieces green olivesi cannot stress enough loved tried also tried lunch buffet variety may elaborate places food quality discount offer bulk bookings least onetime try really adore mocktails beyond delight absolute delight also fan guava chilli apple kiwi night drinksthe staff ever courteous special mention papiya shuvro attendants latest visit place zomato gold 1+1 brings reasonable rates meal two would roughly around 700 fills tummy also heart,4.0,150.0,2135,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
44,Beyond Flavours,lunch today beyond flavors food good delicious awesome service provided soumen das shuvro would highly recommend restaurant,5.0,2.0,2,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
45,Beyond Flavours,reason giving 3 star longlong time wait tables went friday afternoon waited almost 30mins get table lost patience left another restaurant v didnt get table even aftr waiting long timei think restaurant management take consideration try decrease waiting time customer,3.0,61.0,167,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
46,Beyond Flavours,service really exceptional cheers manav served us really well food nice loved ambience nice music playing background,4.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
47,Beyond Flavours,soumen das waited table thanks buddy great service visit soonsoumen das waited table thanks buddy great service visit soonsoumen das waited table thanks buddy great service visit soonsoumen das waited table thanks buddy great service visit soon,5.0,2.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
48,Beyond Flavours,papiya shuvro great helped us get tables quickly suggested us best sizzlers menu ambience awesome suggested best table helpful till visit awesome service guys try well u plan take loved one n give osm experience place,5.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
49,Beyond Flavours,quite good ambience liked special restro biryani must try like service papiya shuvro really good der servicewill like visit againits nice place visit specially nyt tymfood yumshould try biryani,5.0,1.0,13,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
50,Beyond Flavours,pradeep shubroto amazing friendly service awesome n food worldmust visit people visit,5.0,1.0,40,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
51,Beyond Flavours,visited place colleagues farewell really great timegood food service pradeep shobro come later,5.0,7.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
52,Beyond Flavours,restaurant amazing ambience staff polite suggest good recommendations food visit beyond flavours sometime reach papiya shuvro suggest really good dishes,5.0,2.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
53,Beyond Flavours,excellent food service special mention papiya shuvro surprised see good quality food served low prices ambience quite good highly recommended,5.0,5.0,2,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
54,Beyond Flavours,papiya shuvro fb executives really courteous friendly thoroughly enjoyed experience good place cute lil date hehe nice family dinner,5.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
55,Beyond Flavours,first time visited restaurant experience good terms food hospitality service ambience thanks shubro papiya hospitality,5.0,1.0,16,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
56,Beyond Flavours,went lunch buffet yesterday took chance seeing good average reviews zomatothe spread buffet less 3 veg 3 non veg starters 2 main course veg non veg one fried rice chicken biryanidesserts ice cream jamunthe taste ok expect much little disappointing starters hotfish fry decent schezwan chicken okveg spring rolls goodbig surprise onion rings starters kadai ghost main course good missing masala flavourchicken ok biryani average egg fried rice goodfor money pay expect good food use much colour food itemssuggestion management use less coating less food colouring startersoverall experience ok much better amount pay,3.0,25.0,24,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
57,Beyond Flavours,place beyond beautiful ambience excellent food good service soumen das extremely good highly recommended place,4.0,3.0,12,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
58,Beyond Flavours,beyond times tried lot dishes never disappointsi would specially recommend soups healthy broth soup roasted chicken soup amazingin addition service great server papiya courteous prompt place become go place good dining experience,5.0,2.0,31,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
59,Beyond Flavours,time waste taste u r welcome taste really superb service slow dishes impressively different flavours liked,4.0,4.0,2,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
60,Beyond Flavours,food good would add could increase spreadananya courteous good servingambience also good peaceful,5.0,1.0,54,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
61,Beyond Flavours,pardeep shubrat served great food great ambience must try food awesome ambience good great place go team,5.0,1.0,33,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
62,Beyond Flavours,one best restaurants hyderabad near gachibowli ambiance good lunch spread good tastythank papiya guidance,5.0,2.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
63,Beyond Flavours,really liked food different get every restaurant really appreciate service papiyaloved presentation food,5.0,3.0,14,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
64,Beyond Flavours,good food good time place ambience really good nice time thanks shubro assistance guidance food,4.0,1.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
65,Beyond Flavours,best place hangoutfood really greatthanks papiya servicestaff reallly cooperativeambience really great especially pdr private dining room awesome,5.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
66,Beyond Flavours,went team lunch worst restaurant food tasteless service slow ac working weve requested multiple times use please dont waste money strictly recommend prefer beyond flavours,1.0,1.0,24,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
67,Beyond Flavours,discovered place returning despicable day office walked ordered food thinking itd takeout food one could get outletbut food turned saviour way theyve designed place indeed remarkable lights mixed setup would give retro feel good normal group people would want sit great conversation food,5.0,3.0,2,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
68,Beyond Flavours,second time really beyond imagination beyond taste beyond flavours well courteous staff hospitiletaste good best part presentation really meeting standard 5 star restaurant impressed mr ahmed pradeep mr dipanajan friendly took care us well good job guys keep,5.0,47.0,4734,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
69,Beyond Flavours,ordered vegetable lasagne sizzler chicken tikka absolutely delicious ambience amazing service good,5.0,8.0,4,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
70,Beyond Flavours,one best food experiences hyderabad desserts yum appricot pudding must ahmed khan service unparalled keep good work,5.0,3.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
71,Beyond Flavours,ahmed great help beyond flavour may suggest great food good experience staters sizzler good sauce use chicken dish awsome nan soft even take without butter easily eatgreat experience beyond flavors,5.0,1.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
72,Beyond Flavours,dinner place attendant papiya staff friendly ambiance awesome good variety food beverages,5.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
73,Beyond Flavours,happened go place last sunday mothers day flat 50 buffet meal mother really likedneedless say ambience music really good reservation wait fir 10 mins get seatthey served us mango juice wrlcome drink tasted really goodthe buffet spread one kindstrters veg paneer tikka veg spring roll veg cutletthey lil cold taste wad goodnon veg chicken kebab chicken manchurian fish fish tasty though coupd taste better hotchicken fair enufsingapore noodles egg salad pasta good coldmain course mutton rogan josh chicken tikka masala palak paneer equally goodbiriyani egg frued rice chicken biriyani really greatdesserts moong dal halwa tasted really yumm ice cream gulab jamun cut fruits banana cakethe staff slow service food refilles slowwe wait quite long time actually eat stomach fullthey could improve points stand betteroverall 32,3.0,51.0,232,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
74,Beyond Flavours,good ambience absolutely delicious foodive got best company ananya beyond flavours place quite peaceful music fun loving staffgreat place friends,4.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
75,Beyond Flavours,place dinner days back ambience good restaurant almost half occupied immediately got table waited 10 mins get water menu reminders ordered starters main course items mock drinks starters could served 30 mins sign mock drinks noticed similar service issues tables noticed guests literally shouting staffthe food average dishes prepared well least compared 41 rating zomatowe finally decided starters hop onto another restaurant rest meal,2.0,1.0,2,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
76,Beyond Flavours,place twice 2 different experiences1st time colleagues loved food ambience service everything except prices costly special baked biriyani work try unique tastybecause good experience revisited place sister orders mocktail terriblethey replace still good asked starter bone boneless told boneless later arrival told comes disappointing know staff doesnt know menu,3.0,20.0,23,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
77,Beyond Flavours,one best places hangout friends seemed like quiet common place group lunches etcfood good ambience also niceloved everything,5.0,2.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
78,Beyond Flavours,ambience good staff polite friendly food super good nice time lunch keep good work thank nice hospitality loved,5.0,2.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
79,Beyond Flavours,would like introduce restaurant new ingredient called salt add yo food would taste way better basically none food ordered salt ordered fries panko mozzarella sticks tomato cream soup panner65 italian nachos sure nachos italian basically bought pack dorittos added mozarella cheese top beans baked entire dish cold except plate brought pretty sure dumped items stashed inside microwave paneer 65 horrendous might well called garlic 65 salt next mozarella sticks cold salt decent item got fries soup thanks gid didnt order main course came 1300 odd thanks zomato gold price went place way expensive quality food serve talking restaurant general place looks decent stoves stashed tables seats plants kept inconvenient spots really need clean,1.0,13.0,67,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
80,Beyond Flavours,hostile staff okeish food great ambiance sure rating zomato stands 41starters decent main course horriblewill suggest place,1.0,2.0,10,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
81,Beyond Flavours,thanks ahmed food great recommend visit service excellent ambience good great time family,5.0,2.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
82,Beyond Flavours,place flavor food service like beyond good beyond expectations really really quality worth moneyi personally highly recommend placegreat flavour food much prompt serviceambience also enhance flavor restaurant,5.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
83,Beyond Flavours,food quality taste good super slow service nice ambience poor customer handling lot items available even menu,2.0,3.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
84,Beyond Flavours,worst experience restaurant ever first starters served half hour ordering chicken popcorn hair strand yuck guy took main course order forgot completely order waiting almost hour wait another half hour get food worst got us chicken lasagna instead veg lasagna figured chicken right one staunch vegetarian friend almost ate recommend place many better places gachibowli could save time provide better service,1.0,25.0,722,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
85,Beyond Flavours,place really recommend restaurant food lover specifically continental food loverpasta sizzlers yummy cant stop choose restaurant rather otherservice part really satisfied,5.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
86,Beyond Flavours,im much impressed quality food service specially mr ahmed thank politeness readiness food say beyond flavours loved place must visit great ambience,5.0,5.0,2,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
87,Beyond Flavours,food indeed beyond falvours ahmed served us well hoping meet next time soon great ambience amazing songs background added innumerous flavours delicious food,5.0,2.0,37,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
88,Beyond Flavours,starters good service also good ahmed polite helped us selecting menul tuned great would like come back,5.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
89,Beyond Flavours,bad experience herebeyond flavours really puts beyond flavourshad gone dinner next day get hospitalised food infectioni guess food served fresh,1.0,12.0,5,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
90,Beyond Flavours,lovely ambienceroasted chicken soup highlight dinnerbasket biryani full flavours yummlasagne greatnice go whole familyappetisers quantity less though,4.0,16.0,51,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
91,Beyond Flavours,liked food ambience problem staff responsive weve ordered one item got something else otherwise place food good,2.0,3.0,6,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
92,Beyond Flavours,worst service experience food ok took 45mins get veg pulav never seen restaurant take time wont visit,1.0,1.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
93,Beyond Flavours,waiters good enough get items ordered overall bad experience waiting time expected,1.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
94,Beyond Flavours,awesome food good ambience centrally located ample parkingcoordination serving boys service scope improvement boys courteous though sure bar closed saturday eveningoverall good experience extremely value moneywill visit,4.0,18.0,10,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
95,Beyond Flavours,office lunch outing rating would mixed food fine service bad booked table day still wait 3040 mins get one manager polite gave rubbish reasons bad service ambiance fine,3.0,5.0,7,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
96,Beyond Flavours,really enjoyed followsthe entrance music lighting seating arrangement decorations everything awsome food best service enhance flavour restaurant realy recommend restaurant,5.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
97,Beyond Flavours,came first time restaurantthe entrance music lighting seating arrangement decorations everything awsome food best service enhance flavour restaurant,5.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
98,Beyond Flavours,pathetic horrible experienceambience hospitality 1food 1chairs tables broken food cold tastelessbuffet arrangement good could bit spacious,2.0,4.0,56,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
99,Beyond Flavours,ahmed serving us polite cooperative staffamazing food ambienceveg gilaffi kabab lasgna must tryloved overall experience,4.0,4.0,46,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
100,Paradise,paradise biryani really good service also good staff friendly ambiance nice chicken biryani mutton biryani good thank,5.0,1.0,1,800,biryani north indian chinese,4.71,1.0,1.02
101,Paradise,chiken biryani good andspcal chiken cary good testy foodandso enjoy food andnext time visiting family friends,5.0,1.0,1,800,biryani north indian chinese,4.71,1.0,1.02
102,Paradise,good hospitality good ambiance good food v good facility packing biriyani long distances good place visit mainly hyderabad biriyani,5.0,1.0,1,800,biryani north indian chinese,4.71,1.0,1.02
103,Paradise,good food tasty better music food better quick responseand everything good good environment,5.0,1.0,2,800,biryani north indian chinese,4.71,1.0,1.02
104,Paradise,goodtasteever paradise makes magicchefs gladly prepare way u prefer nice serve everyonethis world best biryani,5.0,1.0,0,800,biryani north indian chinese,4.71,1.0,1.02
105,Paradise,food quality goodbut sometakes time food arrivesbut food taste goodstaff goodperfect family lunch dinnerenjoy,4.0,1.0,0,800,biryani north indian chinese,4.71,1.0,1.02
106,Paradise,tasty food good service enjoyed lot paradise quick response providers fast delivery tasty food good place good economic people,5.0,1.0,0,800,biryani north indian chinese,4.71,1.0,1.02
107,Paradise,ordered one chicken one mutton biryani good paradise definitly great restaurant biryani restaurant ambinence good along quick service,5.0,1.0,0,800,biryani north indian chinese,4.71,1.0,1.02
108,Paradise,always best time favorite food biryani ka baap every time visit feel something special almost visited 20 times simply best,4.0,1.0,13,800,biryani north indian chinese,4.71,1.0,1.02
109,Paradise,good taste love visit family friends hopefully enjoyed taste biryani make happens every time,5.0,1.0,1,800,biryani north indian chinese,4.71,1.0,1.02
110,Paradise,usual food always good world famous biryanii love eat paradise biryani ever amservice n ambiance also good,5.0,1.0,0,800,biryani north indian chinese,4.71,1.0,1.02
111,Paradise,ordered tandoori chicken starters thats tasty light butter naan mutton masala main course ordered chicken biryani egg mutton biryani tasty light mutton piecs cooked perfection,4.0,1.0,1,800,biryani north indian chinese,4.71,1.0,1.02
112,Paradise,fri approach services especially shri krishan excellent service rendered dishes tasty like visit recommend friends,5.0,1.0,1,800,biryani north indian chinese,4.71,1.0,1.02
113,Paradise,order drumsticks chicken biryanijust awesome taste good service5 ratinggood response service boys good servinggood seating,5.0,1.0,2,800,biryani north indian chinese,4.71,1.0,1.02
114,Paradise,food hospitality staff amazing service fast ambience place really good really recommened everyone try kadai chicken,5.0,1.0,1,800,biryani north indian chinese,4.71,1.0,1.02
115,Paradise,service good food also good ambiance good chicken biriyani egg biriyani really good nice service good food overall good,5.0,1.0,1,800,biryani north indian chinese,4.71,1.0,1.02
116,Paradise,ordered chicken biryani egg biriyani food awesome nice place great ambitious definitely come next time service good,5.0,1.0,1,800,biryani north indian chinese,4.71,1.0,1.02
117,Paradise,friendly nice service chicken biryani deliciouscurry bowl design nice nice temp nice cooling nice tooth pics nice spot selfie nice restaurant settings,5.0,2.0,0,800,biryani north indian chinese,4.71,1.0,1.02
118,Paradise,nice humble staff tasty biryani many people told try another place paradise truly paradise biryani lovers,5.0,6.0,7,800,biryani north indian chinese,4.71,1.0,1.02
119,Paradise,nice restaurant friendly courteous staff variety options choose curry raita really good good options veggies also try,4.0,4.0,76,800,biryani north indian chinese,4.71,1.0,1.02
120,Paradise,food good staff humble great time people good service good food nise ambiance 1 biriyani hybd hybd india,5.0,1.0,1,800,biryani north indian chinese,4.71,1.0,1.02
121,Paradise,haleem goodegg biryani also tasty compared places andservice good andso happynext time visiting soon friends,4.0,1.0,1,800,biryani north indian chinese,4.71,1.0,1.02
122,Paradise,haleem good dchiken biryani good andnice place paradise gachibowli happy next time visiting friends,5.0,1.0,1,800,biryani north indian chinese,4.71,1.0,1.02
123,Paradise,ordered 2 special chicken biryanis received two ordinary biryanis bones big time disappointment place known biryani feel like worst biryaniit costed 400 bucks receiving 200 bucks biryani worst experience,1.0,2.0,3,800,biryani north indian chinese,4.71,1.0,1.02
124,Paradise,nice taste good maintenancenizam chicken biryani goodpepper chicken tastyservice fast good receivingplease visit tasty food,5.0,1.0,1,800,biryani north indian chinese,4.71,1.0,1.02
125,Paradise,parans good andege biryani good andservice good andnext time visit friends family lastly thank,5.0,1.0,1,800,biryani north indian chinese,4.71,1.0,1.02
126,Paradise,nice place eat great food great servicevalue money great ambiencehighly recommendedprices bit highbut definitely worth,5.0,2.0,2,800,biryani north indian chinese,4.71,1.0,1.02
127,Paradise,good food good service good options vegetarians also desserts tasty ambience also neat place looks hygienic,4.0,25.0,15,800,biryani north indian chinese,4.71,1.0,1.02
128,Paradise,ege biriyani good andservice good andnice place paradise gachibowliso happy next time visit friends family,5.0,1.0,5,800,biryani north indian chinese,4.71,1.0,1.02
129,Paradise,food especially haleem people hate mutton smell wanted taste haleem go try restaurant service ambience cool,5.0,1.0,1,800,biryani north indian chinese,4.71,1.0,1.02
130,Paradise,chicken biriyani good service good andnice place happy enjoy foodandnext time visit family friends,5.0,1.0,7,800,biryani north indian chinese,4.71,1.0,1.02
131,Paradise,chicken biriyani good andnice place paradise gachibowliand service goodso nice enjoy food next time visit soon friends,5.0,1.0,1,800,biryani north indian chinese,4.71,1.0,1.02
132,Paradise,awesome biryani kebabs apollo fish best one hereclean hygienic foodcourteous staff prompt service responsekeep good work,5.0,0.0,0,800,biryani north indian chinese,4.71,1.0,1.02
133,Paradise,nice staff food good tastyambience goodservice good staff polite customersoverall food great woowwwwwww,5.0,1.0,30,800,biryani north indian chinese,4.71,1.0,1.02
134,Paradise,nice place enjoy food servive good food delicious decent ambience good place enjoy nizamis food hyderabad,4.0,2.0,1,800,biryani north indian chinese,4.71,1.0,1.02
135,Paradise,awesome service rajesh team tasty food brevage keep rocking guys become favourite place love come back,5.0,2.0,0,800,biryani north indian chinese,4.71,1.0,1.02
